,Products,Price
0,Lenovo LP40 Wireless Earphone Bluetooth 5.0 Waterproof Earphone Touch headset - Black,GH₵ 75.00
1,Lenovo XT90 In-ear Earphones 5.0 Headphones True Wireless Earbuds with Touch Control,GH₵ 55.00
2,Samsung Galaxy A03 Core - 32GB HDD - 2GB RAM Smartphone - Black,GH₵ 554.00
3,Lenovo LP40 Wireless Earphone Bluetooth 5.0 Waterproof Earphone Touch headset white,GH₵ 62.00
4,P47 Wireless Headset - White,GH₵ 29.47
5,Samsung Galaxy A03 Core - 32GB HDD - 2GB RAM Smartphone - Blue,GH₵ 554.00
6,Universal Adjustable Desktop Tablet Stands Phone Holder bracket for ipad phone tablet stand mount,GH₵ 18.00
7,P47 Wireless Foldable Bluetooth Headset - Black,GH₵ 33.00
8,F9-32 Stereo V5.1 Bluetooth Earphone Power Banks,GH₵ 51.00
9,ARHANORY Tripod Stand with LED Ring Light for Phones Laptop Plastic-Black,GH₵ 35.00
10,V9 Earhook Wireless Bluetooth Earphone CSR Noise Cancelling Earpiece Headset Portable,GH₵ 34.00
11,Wireless Bluetooth 5.0 Waterproof Headphones - Black,GH₵ 43.00
12,TSDATECH 64GB Memory Card TF Flash Card High Speed,GH₵ 39.06
13,Lenovo HE01 BT 5.0 Neckband Wireless Earphones Waterproof w/MIC Line Control,GH₵ 22.00
14,Samsung Galaxy A22 Dual SIM  -  128GB HDD  -  4GB RAM Smartphone 5G  -  Mint,"GH₵ 1,271.00"
15,Itel It 2173 Dual SIM Feature Phone - 512MB ROM - 512MB RAM - Blue,GH₵ 69.00
16,Nokia C2-05 2GSM 2.0''  Slide Touch &Type Mp3 Player Mobile Phone,GH₵ 139.00
17,Itel 5081 Triple SIM Phone  Wireless FM Radio - Dark Blue,GH₵ 97.00
18,Nokia 105 (4th Edition) Dual SIM Cell Phone - Blue,GH₵ 105.00
19,Nokia 105 (4th Edition) Dual SIM Cell Phone - Black,GH₵ 105.00
20,Nokia 105 Dual SIM 4th Generation  - 32MB ROM‎ - 4MB RAM Cell Phone - Black + Free 3310 Phone,GH₵ 169.00
21,Bontel Dual SIM Phone with FM Radio + FREE P47 Headphone  - Black/Multicolour,GH₵ 94.00
22,X-INOVA Magic 6 Dual SIM Smartphone - 16GB HDD - 2GB RAM - Green,GH₵ 285.00
23,Itel 2173 Dual Cell Phone - 512MB ROM - 512MB RAM - Black/ Blue + Free Battery & Earpiece,GH₵ 90.00
24,"X Tigi T1 Mini - 1.77"" - Dual SIM Cell Phone - 32MB HDD- 32MB RAM - Blue",GH₵ 88.00
25,SOWHAT V3 Dual SIM - 8GB HDD - 1GB RAM Smartphone - Green,GH₵ 230.00
26,Bontel Sleek Dual SIM Phone with FM Radio + FREE MP3 Player & Earpiece,GH₵ 83.00
27,Nokia 2700c Nokia 2700 Classic Mobile Phone Camera Vedio Bluetooth MP4 Cheap,GH₵ 100.00
28,SOWHAT W9 - Dual SIM - 8GB HDD - 1GB RAM Smartphone - Blue,GH₵ 230.00
29,Nokia Asha 210 Bluetooth Wi-Fi Mobile Phone -white,GH₵ 175.00
30,Samsung Galaxy A03 Core - 32GB HDD - 2GB RAM Smartphone - Black,GH₵ 554.00
31,Samsung Galaxy A03 Core - 32GB HDD - 2GB RAM Smartphone - Blue,GH₵ 554.00
32,Infinix Smart HD X612 (2021) - 32GB HDD - 2GB RAM Smartphone -  Topaz Blue,GH₵ 585.20
33,XIAOMI Redmi 9A  Smartphone  -  32GB HDD - 2GB RAM -   Granite Gray,GH₵ 635.00
34,Tecno POP 3 (BB2) Dual SIM - 16GB HDD - 1GB RAM Smartphone - Champaign Gold,GH₵ 422.28
35,TCL L7 Smartphone  - 32GB HDD - 2GB RAM - Black,GH₵ 383.04
36,Itel A56 (2020) - 16GB HDD - 1GB RAM - 4000mAh - Blue,GH₵ 390.00
37,X Tigi A10C  6.3'' - 32GB HDD - 2GB RAM - Fingerprint - Black,GH₵ 449.00
38,Itel P37 Dual Sim  - 32GB ROM - 2GB RAM Smartphone - Black,GH₵ 520.00
39,TCL 20E Dual SIM - 32GB - 3GB RAM Smartphone - Blue,GH₵ 605.00
40,Apple IPhone 5S 16GB With Finger Sensor 4G LTE ( Gift ) Refurbiished,GH₵ 440.00
41,Infinix X657 Smart 5 Dual SIM -32GB HDD - 2GB RAM - Black,GH₵ 605.00
42,TCL L7 Smartphone  - 32GB HDD - 2GB RAM - Black/Green,GH₵ 385.00
43,Tecno Spark 7 - 32GB HDD - 2GB RAM - Magnet Black,GH₵ 630.00
44,Huawei Band 6 Exercise Heart Rate Monitor Sleep 1.47 Inches black,GH₵ 335.00
45,Lenovo LP40 Wireless Earphone Bluetooth 5.0 Waterproof Earphone Touch headset - Black,GH₵ 75.00
46,Fingerprint Touch Noise-cancelling Stereo Bluetooth Headset - Black,GH₵ 28.00
47,Samsung Galaxy A03 Core - 32GB HDD - 2GB RAM Smartphone - Black,GH₵ 554.00
48,Lenovo XT90 In-ear Earphones 5.0 Headphones True Wireless Earbuds with Touch Control,GH₵ 55.00
49,Lenovo LP40 Wireless Earphone Bluetooth 5.0 Waterproof Earphone Touch headset white,GH₵ 62.00
50,P47 Wireless Headset - White,GH₵ 29.47
51,TWS Wireless Bluetooth Earphones - White,GH₵ 38.80
52,Universal Adjustable Desktop Tablet Stands Phone Holder bracket for ipad phone tablet stand mount,GH₵ 18.00
53,Wireless Headphone Bluetooth 5.0 In-ear Stereo,GH₵ 45.00
54,C3 Bluetooth 5.0 Wireless Headsets 10D Stereo Headphones With LED sports Earphone PRO3,GH₵ 32.00
55,"Wireless Bluetooth Earphone For iPhone, Samsung Pods - Black",GH₵ 34.00
56,P47 Wireless Foldable Bluetooth Headset - Black,GH₵ 33.00
